"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","EGPM","GOLD%","WPM","WCPM"
"Alphari","Misfits Gaming","Top",10,"60%",,22,20,59,4.1,"67.5%","18.3%","24.1%","20%",40,8,3.9,8.5,"26.1%",446,"23.5%",251,"21.0%",0.58,0.12
"Broxah","Fnatic","Jungle",9,"44%",,11,11,50,5.5,"71.8%","12.9%","12.0%","44%",-82,-7,5,4.2,"11.1%",222,"12.2%",182,"16.2%",0.95,0.3
"Caps","Fnatic","Middle",9,"44%",,22,19,38,3.2,"70.6%","25.9%","20.7%","11%",103,98,4.2,8.9,"26.5%",508,"28.2%",258,"23.0%",0.49,0.13
"Chei","H2k-Gaming","Support",8,"25%",,1,26,42,1.7,"75.4%","1.8%","24.5%","38%",34,-266,0.6,1,"3.6%",113,"6.2%",119,"11.5%",1.28,0.35
"Chres","Splyce","Middle",5,"40%",,23,10,33,5.6,"80.0%","32.9%","14.5%","40%",302,311,6.4,8.1,"24.0%",558,"24.1%",254,"22.6%",0.42,0.11
"Exile","Unicorns Of Love","Middle",3,"0%",,7,16,5,0.8,"85.7%","50.0%","29.6%","0%",-318,-37,-13.7,8,"25.2%",497,"31.7%",211,"23.2%",0.45,0.15
"Expect","G2 Esports","Top",11,"82%",,37,20,79,5.8,"73.0%","23.3%","19.8%","36%",-9,4,-2.2,8,"24.2%",447,"20.3%",258,"20.8%",0.53,0.15
"FEBIVEN","H2k-Gaming","Middle",8,"25%",,18,19,15,1.7,"57.9%","31.6%","17.9%","13%",-87,3,0.1,9.2,"31.8%",536,"29.5%",259,"25.4%",0.3,0.18
"Hans sama","Misfits Gaming","ADC",10,"60%",,42,12,46,7.3,"73.3%","35.0%","14.5%","20%",51,121,1.9,9.8,"33.0%",563,"29.0%",306,"25.9%",0.47,0.42
"Hylissang","Unicorns Of Love","Support",3,"0%",,0,14,9,0.6,"64.3%","0.0%","25.9%","0%",-36,294,12.7,1.7,"6.0%",137,"8.7%",105,"11.5%",1.15,0.42
"IgNar","Misfits Gaming","Support",10,"60%",,4,19,86,4.7,"75.0%","3.3%","22.9%","30%",91,-179,-4.8,0.8,"3.0%",147,"7.6%",162,"13.5%",1.45,0.34
"Jankos","H2k-Gaming","Jungle",8,"25%",,9,20,35,2.2,"77.2%","15.8%","18.9%","50%",85,-255,-6.6,3.9,"12.7%",207,"12.0%",177,"17.5%",0.91,0.43
"Jesiz","Fnatic","Support",9,"44%",,6,19,56,3.3,"72.9%","7.1%","20.7%","22%",-84,314,1,0.9,"2.8%",131,"7.1%",148,"12.8%",1.49,0.3
"Kobbe","Splyce","ADC",5,"40%",,13,14,37,3.6,"71.4%","18.6%","20.3%","0%",-15,92,2.6,10.1,"33.5%",719,"31.1%",290,"25.7%",0.38,0.26
"Kold","Splyce","Jungle",5,"40%",,12,8,44,7,"80.0%","17.1%","11.6%","20%",67,-29,3,4,"11.4%",305,"13.1%",189,"16.6%",0.84,0.36
"Maxlore","Misfits Gaming","Jungle",10,"60%",,17,17,70,5.1,"72.5%","14.2%","20.5%","50%",40,32,1,3.9,"11.8%",225,"11.6%",196,"16.6%",1,0.34
"Mikyx","Splyce","Support",5,"40%",,2,19,50,2.7,"74.3%","2.9%","27.5%","20%",71,11,-1.8,1.2,"4.6%",187,"7.9%",146,"12.7%",1.76,0.46
"Mithy","G2 Esports","Support",11,"82%",,2,20,118,6,"75.5%","1.3%","19.8%","0%",-61,15,0.5,1.2,"4.0%",142,"6.4%",151,"12.2%",1.53,0.35
"Nuclear","H2k-Gaming","ADC",8,"25%",,11,17,25,2.1,"63.2%","19.3%","16.0%","13%",-52,43,-3.1,9,"30.1%",542,"29.9%",251,"24.1%",0.37,0.23
"Odoamne","H2k-Gaming","Top",8,"25%",,18,24,18,1.5,"63.2%","31.6%","22.6%","25%",135,208,1.6,7.7,"21.8%",388,"22.4%",223,"21.5%",0.46,0.1
"Perkz","G2 Esports","Middle",11,"82%",,56,28,62,4.2,"74.2%","35.2%","27.7%","18%",-118,-248,-5,8.4,"25.8%",653,"29.4%",289,"23.7%",0.3,0.3
"PowerOfEvil","Misfits Gaming","Middle",10,"60%",,35,15,64,6.6,"82.5%","29.2%","18.1%","50%",50,38,2.5,8.6,"26.1%",558,"28.3%",273,"23.0%",0.51,0.2
"Rekkles","Fnatic","ADC",9,"44%",,31,10,32,6.3,"74.1%","36.5%","10.9%","22%",96,-29,5.4,10.7,"35.1%",642,"34.0%",319,"28.2%",0.3,0.38
"Samux","Unicorns Of Love","ADC",3,"0%",,4,8,5,1.1,"64.3%","28.6%","14.8%","0%",-327,-347,-8.3,9.6,"32.0%",396,"25.6%",232,"25.6%",0.32,0.16
"sOAZ","Fnatic","Top",9,"44%",,15,33,26,1.2,"48.2%","17.6%","35.9%","11%",-303,-331,-7,8,"24.6%",348,"18.6%",220,"19.7%",0.5,0.12
"Trick","G2 Esports","Jungle",11,"82%",,23,21,90,5.4,"71.1%","14.5%","20.8%","45%",-19,127,-0.6,4.6,"13.7%",300,"13.5%",219,"17.7%",0.84,0.31
"Vizicsacsi","Unicorns Of Love","Top",3,"0%",,3,8,7,1.3,"71.4%","21.4%","14.8%","0%",151,340,5.3,8.4,"24.4%",367,"23.5%",216,"23.7%",0.43,0.13
"Wunder","Splyce","Top",5,"40%",,20,18,36,3.1,"80.0%","28.6%","26.1%","0%",181,35,3.8,8.3,"26.5%",555,"23.7%",249,"22.4%",0.58,0.14
"Xerxe","Unicorns Of Love","Jungle",3,"0%",,0,8,7,0.9,"50.0%","0.0%","14.8%","0%",-158,173,-3.3,4.3,"12.4%",163,"10.4%",146,"16.1%",0.84,0.25
"Zven","G2 Esports","ADC",11,"82%",,41,12,73,9.5,"71.7%","25.8%","11.9%","9%",10,-65,-2.8,9.8,"32.2%",676,"30.4%",316,"25.6%",0.38,0.45
