"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","EGPM","GOLD%","WPM","WCPM"
"Abbedagge","FC Schalke 04 Esports","Middle",18,"61%","44%",65,43,115,4.2,"65.5%","23.6%","22.1%","11%",-60,159,-1.3,8.8,"26.4%",509,"27.7%",284,"24.2%",0.46,0.2
"Alphari","Origen","Top",18,"39%","56%",47,43,65,2.6,"53.6%","22.5%","18.3%","22%",305,250,13.4,8.7,"26.1%",467,"27.2%",273,"24.4%",0.46,0.17
"Attila","Team Vitality","ADC",19,"42%","58%",61,46,87,3.2,"67.0%","27.6%","16.3%","26%",179,129,10.1,9.7,"33.1%",481,"26.1%",307,"26.8%",0.34,0.39
"Broxah","Fnatic","Jungle",18,"78%","72%",65,53,134,3.8,"60.9%","19.9%","21.1%","56%",135,-9,-6.2,4.6,"13.6%",297,"14.8%",207,"15.9%",0.63,0.29
"Bwipo","Fnatic","Top",18,"78%","61%",76,59,126,3.4,"61.8%","23.2%","23.5%","44%",157,158,-4.1,7.7,"23.3%",487,"23.3%",295,"22.2%",0.46,0.19
"Cabochard","Team Vitality","Top",19,"42%","42%",50,42,87,3.3,"62.0%","22.6%","14.9%","5%",187,114,4.4,8.2,"23.7%",400,"21.6%",267,"23.5%",0.43,0.16
"Caedrel","Excel Esports","Jungle",18,"22%","39%",26,59,103,2.2,"72.1%","14.5%","19.7%","28%",-87,-1,-1.6,4.6,"13.0%",195,"12.1%",173,"16.5%",0.77,0.49
"Caps","G2 Esports","Middle",18,"83%","50%",107,51,89,3.8,"53.6%","29.2%","23.8%","33%",277,158,4.1,8.4,"25.6%",599,"27.1%",316,"23.6%",0.36,0.18
"Crownshot","SK Gaming","ADC",19,"37%","79%",71,48,90,3.4,"71.9%","31.7%","18.5%","32%",248,-7,4.8,9.9,"32.5%",564,"30.7%",313,"28.4%",0.37,0.4
"Dan Dan","Misfits Gaming","Top",10,"40%","60%",22,24,24,1.9,"34.1%","16.3%","13.0%","0%",-98,181,-0.1,9.1,"28.1%",349,"19.4%",274,"23.5%",0.41,0.11
"Doss","Misfits Gaming","Support",2,"0%","100%",1,10,17,1.8,"72.0%","4.0%","20.4%","0%",-64,-397,5.5,0.8,"3.0%",169,"8.6%",95,"8.9%",1.21,0.29
