"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","WCPM"
"Acorn","MVP Blue","Top",10,"30%",,25,40,83,2.7,"68.4%","15.8%","22.3%",,,,,,,,,,,,,,
"Ambition","CJ Entus Blaze","Middle",19,"68%",,87,74,135,3,"71.8%","28.2%","24.0%",,,,,,,,,,261,"28.0%",,,
"Bengi","SK Telecom T1 K","Jungle",20,"70%",,45,58,214,4.5,"70.4%","12.2%","19.3%",,,,,,,,,,149,"14.3%",,,
"Bust","KT Rolster Arrows","Support",10,"30%",,7,44,95,2.3,"64.2%","4.4%","21.8%",,,,,,,,,,,,,,
"Cain","NaJin Black Sword","Support",14,"36%",,11,29,124,4.7,"68.5%","5.6%","14.3%",,,,,,,,,,54,"7.3%",,,
"CloudTemplar","CJ Entus Frost","Jungle",20,"55%",,37,80,184,2.8,"69.1%","11.6%","25.0%",,,,,,,,,,117,"14.3%",,,
"Cpt Jack","CJ Entus Blaze","ADC",19,"68%",,91,54,104,3.6,"63.1%","29.4%","17.5%",,,,,,,,,,239,"25.8%",,,
"dade","MVP Ozone","Middle",21,"71%",,148,55,159,5.6,"73.6%","35.5%","19.6%",,,,,,,,,,297,"28.6%",,,
"DanDy","MVP Ozone","Jungle",21,"71%",,51,68,264,4.6,"75.5%","12.2%","24.3%",,,,,,,,,,153,"14.6%",,,
"Deft","MVP Blue","ADC",10,"30%",,55,32,57,3.5,"70.9%","34.8%","17.9%",,,,,,,,,,,,,,
"Easyhoon","MVP Blue","Middle",10,"30%",,46,25,64,4.4,"69.6%","29.1%","14.0%",,,,,,,,,,,,,,
"Expession","NaJin White Shield","Top",13,"31%",,36,43,69,2.4,"68.6%","23.5%","22.2%",,,,,,,,,,146,"25.5%",,,
"Faker","SK Telecom T1 K","Middle",20,"70%",,133,63,137,4.3,"73.4%","36.1%","21.0%",,,,,,,,,,301,"29.1%",,,
"FLahm","MVP Blue","Support",10,"30%",,17,39,100,3,"74.1%","10.8%","21.8%",,,,,,,,,,,,,,
"Flame","CJ Entus Blaze","Top",19,"68%",,84,53,129,4,"68.9%","27.2%","17.2%",,,,,,,,,,238,"24.7%",,,
"H0R0","SK Telecom T1 S","Jungle",13,"38%",,30,32,98,4,"65.6%","15.4%","14.8%",,,,,,,,,,104,"15.1%",,,
"Heart","MVP Blue","Jungle",10,"30%",,15,43,93,2.5,"68.4%","9.5%","24.0%",,,,,,,,,,,,,,
"Helios","CJ Entus Blaze","Jungle",19,"68%",,29,69,162,2.8,"61.8%","9.4%","22.4%",,,,,,,,,,123,"12.4%",,,
"Hermes","CJ Entus Frost","ADC",13,"54%",,43,31,78,3.9,"71.2%","25.3%","17.9%",,,,,,,,,,201,"24.7%",,,
"Hiro","KT Rolster Arrows","ADC",10,"30%",,43,38,65,2.8,"67.9%","27.0%","18.8%",,,,,,,,,,,,,,
"Homme","MVP Ozone","Top",21,"71%",,55,58,217,4.7,"65.2%","13.2%","20.7%",,,,,,,,,,186,"18.0%",,,
"HooN","ahq e-Sports Club Korea","Middle",10,"40%",,42,28,56,3.5,"71.5%","30.7%","19.0%",,,,,,,,,,,,,,
"imp","MVP Ozone","ADC",21,"71%",,136,40,150,7.2,"68.6%","32.6%","14.3%",,,,,,,,,,285,"27.4%",,,
"Impact","SK Telecom T1 K","Top",20,"70%",,82,71,166,3.5,"67.4%","22.3%","23.7%",,,,,,,,,,205,"19.7%",,,
"inSec","KT Rolster Bullets","Jungle",14,"50%",,32,52,130,3.1,"71.4%","14.1%","21.3%",,,,,,,,,,124,"16.2%",,,
"KaKAO","KT Rolster Arrows","Jungle",10,"30%",,23,37,93,3.1,"73.0%","14.5%","18.3%",,,,,,,,,,,,,,
"Kish","CJ Entus Frost","Support",7,"57%",,14,29,100,3.9,"76.0%","9.3%","19.7%",,,,,,,,,,70,"8.7%",,,
"Lasha","Incredible Miracle","Support",10,"30%",,8,30,68,2.5,"68.5%","7.2%","18.8%",,,,,,,,,,,,,,
"Lilac","Incredible Miracle","Jungle",10,"30%",,14,43,67,1.9,"73.0%","12.6%","26.9%",,,,,,,,,,,,,,
"Locodoco","NaJin White Shield","ADC",13,"31%",,37,36,60,2.7,"63.4%","24.2%","18.6%",,,,,,,,,,162,"28.1%",,,
"Lustboy","CJ Entus Blaze","Support",19,"68%",,18,58,205,3.8,"72.2%","5.8%","18.8%",,,,,,,,,,89,"9.1%",,,
"MadLife","CJ Entus Frost","Support",13,"54%",,11,30,113,4.1,"72.9%","6.5%","17.3%",,,,,,,,,,79,"9.0%",,,
"Mafa","KT Rolster Bullets","Support",14,"50%",,14,44,149,3.7,"71.8%","6.2%","18.0%",,,,,,,,,,89,"11.1%",,,
"MakNooN","NaJin Black Sword","Top",14,"36%",,34,49,92,2.6,"64.0%","17.3%","24.1%",,,,,,,,,,154,"21.4%",,,
"Mata","MVP Ozone","Support",21,"71%",,27,59,285,5.3,"74.8%","6.5%","21.1%",,,,,,,,,,123,"11.5%",,,
"MidKing","Incredible Miracle","Middle",10,"30%",,34,27,35,2.6,"62.2%","30.6%","16.9%",,,,,,,,,,,,,,
"NoFe","NaJin White Shield","Jungle",13,"31%",,20,40,93,2.8,"73.9%","13.1%","20.6%",,,,,,,,,,77,"12.8%",,,
"Paragon","Incredible Miracle","ADC",10,"30%",,32,29,42,2.6,"66.7%","28.8%","18.1%",,,,,,,,,,,,,,
"Piglet","SK Telecom T1 K","ADC",20,"70%",,84,46,167,5.5,"68.2%","22.8%","15.3%",,,,,,,,,,277,"26.3%",,,
"PoohManDu","SK Telecom T1 K","Support",20,"70%",,24,62,230,4.1,"69.0%","6.5%","20.7%",,,,,,,,,,112,"10.6%",,,
"PraY","NaJin Black Sword","ADC",14,"36%",,55,38,81,3.6,"69.0%","27.9%","18.7%",,,,,,,,,,192,"26.6%",,,
"Promise","ahq e-Sports Club Korea","ADC",10,"40%",,35,26,53,3.4,"64.2%","25.5%","17.7%",,,,,,,,,,,,,,
"RapidStar","CJ Entus Frost","Middle",20,"55%",,75,64,129,3.2,"63.8%","23.4%","20.0%",,,,,,,,,,212,"26.5%",,,
"Raven","SK Telecom T1 S","ADC",13,"38%",,55,49,74,2.6,"66.2%","28.2%","22.7%",,,,,,,,,,206,"28.6%",,,
"Reapered","SK Telecom T1 S","Top",13,"38%",,46,54,63,2,"55.9%","23.6%","25.0%",,,,,,,,,,140,"20.1%",,,
"Ryu","KT Rolster Bullets","Middle",14,"50%",,67,59,94,2.7,"70.9%","29.5%","24.2%",,,,,,,,,,204,"26.0%",,,
"Save","NaJin White Shield","Middle",13,"31%",,50,38,55,2.8,"68.6%","32.7%","19.6%",,,,,,,,,,150,"25.6%",,,
"Score","KT Rolster Bullets","ADC",14,"50%",,54,43,104,3.7,"69.6%","23.8%","17.6%",,,,,,,,,,182,"23.3%",,,
"Shy","CJ Entus Frost","Top",20,"55%",,83,63,112,3.1,"60.9%","25.9%","19.7%",,,,,,,,,,199,"24.9%",,,
"Sin","ahq e-Sports Club Korea","Jungle",10,"40%",,24,35,77,2.9,"73.7%","17.5%","23.8%",,,,,,,,,,,,,,
"Smeb","Incredible Miracle","Top",10,"30%",,23,31,52,2.4,"67.6%","20.7%","19.4%",,,,,,,,,,,,,,
"Space","CJ Entus Frost","ADC",7,"57%",,57,23,51,4.7,"72.0%","38.0%","15.6%",,,,,,,,,,196,"27.2%",,,
"Ssong","NaJin Black Sword","Middle",14,"36%",,77,44,67,3.3,"73.1%","39.1%","21.7%",,,,,,,,,,199,"27.6%",,,
"Ssumday","KT Rolster Bullets","Top",14,"50%",,60,46,91,3.3,"66.5%","26.4%","18.9%",,,,,,,,,,185,"23.4%",,,
"StarLast","SK Telecom T1 S","Support",13,"38%",,12,40,126,3.5,"70.8%","6.2%","18.5%",,,,,,,,,,55,"7.3%",,,
"SuNo","SK Telecom T1 S","Middle",13,"38%",,52,41,85,3.3,"70.3%","26.7%","19.0%",,,,,,,,,,203,"28.9%",,,
"TrAce","ahq e-Sports Club Korea","Top",10,"40%",,30,26,56,3.3,"62.8%","21.9%","17.7%",,,,,,,,,,,,,,
"viNylCat","NaJin White Shield","Support",2,"0%",,1,7,12,1.9,"56.5%","4.3%","21.2%",,,,,,,,,,,,,,
"Vitamin","KT Rolster Arrows","Top",10,"30%",,30,40,70,2.5,"62.9%","18.9%","19.8%",,,,,,,,,,,,,,
"Watch","NaJin Black Sword","Jungle",14,"36%",,20,43,98,2.7,"59.9%","10.2%","21.2%",,,,,,,,,,122,"17.2%",,,
"Wolf","NaJin White Shield","Support",11,"36%",,9,30,85,3.1,"72.3%","6.9%","18.6%",,,,,,,,,,50,"8.0%",,,
"Wraith","ahq e-Sports Club Korea","Support",10,"40%",,6,32,92,3.1,"71.5%","4.4%","21.8%",,,,,,,,,,,,,,
"Zero","KT Rolster Arrows","Middle",10,"30%",,56,43,56,2.6,"70.4%","35.2%","21.3%",,,,,,,,,,,,,,
