"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","WCPM"
"Acorn","GSG","ADC",1,"0%",,7,4,3,2.5,"71.4%","50.0%","14.8%",,,,,,,,,,,,,,
"Acorn","GSG","Top",11,"18%",,40,37,52,2.5,"59.4%","25.8%","18.0%",,,,,,,,,,,,,,
"Ambition","Azubu Blaze","Middle",34,"47%",,128,107,196,3,"71.7%","28.3%","20.7%",,,,,,,,,,,,,,
"Bang","NaJin White Shield","ADC",12,"42%",,39,26,53,3.5,"67.2%","28.5%","17.4%",,,,,,,,,,,,,,
"Bust","MVP Blue","Support",12,"17%",,8,43,106,2.7,"68.7%","4.8%","18.1%",,,,,,,,,,,,,,
"Cain","NaJin Black Sword","Support",35,"80%",,35,59,414,7.6,"75.0%","5.8%","15.9%",,,,,,,,,,,,,,
"Clear","GSG","ADC",11,"18%",,46,32,56,3.2,"65.8%","29.7%","15.5%",,,,,,,,,,,,,,
"Clear","GSG","Top",1,"0%",,2,5,6,1.6,"57.1%","14.3%","18.5%",,,,,,,,,,,,,,
"CloudTemplar","Azubu Frost","Jungle",34,"53%",,61,117,354,3.5,"73.8%","10.9%","22.1%",,,,,,,,,,,,,,
"Cornsalad","Team OP","Middle",10,"20%",,25,38,49,1.9,"68.5%","23.1%","22.9%",,,,,,,,,,,,,,
"Cornsalad","Xenics Storm","Middle",2,"50%",,5,8,10,1.9,"75.0%","25.0%","21.6%",,,,,,,,,,,,,,
"Cpt Jack","Azubu Blaze","ADC",34,"47%",,114,103,174,2.8,"63.7%","25.2%","20.0%",,,,,,,,,,,,,,
"dade","CJ Entus","Middle",17,"35%",,62,61,113,2.9,"66.0%","23.4%","17.7%",,,,,,,,,,,,,,
"DanDy","MVP Ozone","Jungle",15,"47%",,39,43,101,3.3,"65.7%","18.3%","20.1%",,,,,,,,,,,,,,
"Easyhoon","GSG","Middle",12,"17%",,44,49,72,2.4,"68.6%","26.0%","21.0%",,,,,,,,,,,,,,
"Expession","NaJin White Shield","Top",12,"42%",,38,27,49,3.2,"63.5%","27.7%","18.1%",,,,,,,,,,,,,,
"Flame","Azubu Blaze","Top",34,"47%",,121,99,190,3.1,"68.8%","26.8%","19.2%",,,,,,,,,,,,,,
"Heart","GSG","Jungle",12,"17%",,13,58,92,1.8,"62.1%","7.7%","24.9%",,,,,,,,,,,,,,
"Helios","Azubu Blaze","Jungle",34,"47%",,51,116,222,2.4,"60.4%","11.3%","22.5%",,,,,,,,,,,,,,
"Hermes","MVP Blue","ADC",12,"17%",,71,46,56,2.8,"76.5%","42.8%","19.4%",,,,,,,,,,,,,,
"Hiro","KT Rolster Arrows","ADC",16,"50%",,59,46,91,3.3,"67.0%","26.3%","16.7%",,,,,,,,,,,,,,
"Homme","MVP Ozone","Top",15,"47%",,32,47,98,2.8,"61.0%","15.0%","22.0%",,,,,,,,,,,,,,
"HooN","NaJin White Shield","Middle",12,"42%",,41,35,61,2.9,"74.5%","29.9%","23.5%",,,,,,,,,,,,,,
"imp","MVP Ozone","ADC",15,"47%",,77,28,75,5.4,"71.4%","36.2%","13.1%",,,,,,,,,,,,,,
"inSec","CJ Entus","Jungle",17,"35%",,51,86,112,1.9,"61.5%","19.2%","24.9%",,,,,,,,,,,,,,
"Joono","KT Rolster Arrows","Jungle",16,"50%",,28,70,126,2.2,"68.8%","12.5%","25.5%",,,,,,,,,,,,,,
"KaKAO","KT Rolster Bullets","Jungle",36,"61%",,69,106,275,3.2,"66.2%","13.3%","25.0%",,,,,,,,,,,,,,
"KangQui","MVP Blue","Top",12,"17%",,20,49,91,2.3,"66.9%","12.0%","20.7%",,,,,,,,,,,,,,
"Kish","CJ Entus","Support",17,"35%",,30,67,147,2.6,"66.8%","11.3%","19.4%",,,,,,,,,,,,,,
"Lasha","Incredible Miracle","Support",17,"53%",,19,48,164,3.8,"66.1%","6.9%","21.3%",,,,,,,,,,,,,,
"Lilac","Incredible Miracle","Top",17,"53%",,74,52,117,3.7,"69.0%","26.7%","23.1%",,,,,,,,,,,,,,
"LongPanda","CJ Entus","Top",17,"35%",,57,74,100,2.1,"59.2%","21.5%","21.4%",,,,,,,,,,,,,,
"Lustboy","Azubu Blaze","Support",34,"47%",,38,91,300,3.7,"74.8%","8.4%","17.6%",,,,,,,,,,,,,,
"MadLife","Azubu Frost","Support",34,"53%",,53,93,367,4.5,"74.7%","9.4%","17.6%",,,,,,,,,,,,,,
"Mafa","KT Rolster Bullets","Support",36,"61%",,18,86,351,4.3,"71.0%","3.5%","20.3%",,,,,,,,,,,,,,
"MakNooN","NaJin Black Sword","Top",35,"80%",,126,111,281,3.7,"67.9%","21.0%","29.8%",,,,,,,,,,,,,,
"ManyReason","Xenics Storm","Support",2,"50%",,0,6,12,2,"60.0%","0.0%","16.2%",,,,,,,,,,,,,,
"ManyReason","Team OP","Support",10,"20%",,5,37,74,2.1,"73.1%","4.6%","22.3%",,,,,,,,,,,,,,
"May","Team OP","Top",10,"20%",,26,32,56,2.6,"75.9%","24.1%","19.3%",,,,,,,,,,,,,,
"May","Xenics Storm","Top",2,"50%",,6,5,10,3.2,"80.0%","30.0%","13.5%",,,,,,,,,,,,,,
"MidKing","Incredible Miracle","Middle",17,"53%",,83,44,115,4.5,"71.5%","30.0%","19.6%",,,,,,,,,,,,,,
"Mima","MVP Ozone","Middle",15,"47%",,49,51,100,2.9,"70.0%","23.0%","23.8%",,,,,,,,,,,,,,
"ming9","MVP Ozone","Support",9,"44%",,13,25,107,4.8,"75.9%","8.2%","17.9%",,,,,,,,,,,,,,
"MOKUZA","NaJin White Shield","Jungle",12,"42%",,15,29,77,3.2,"67.2%","10.9%","19.5%",,,,,,,,,,,,,,
"NoFe","MVP Blue","Jungle",12,"17%",,14,40,94,2.7,"65.1%","8.4%","16.9%",,,,,,,,,,,,,,
