"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","WCPM"
"Ambition","Samsung Galaxy","Jungle",1,"0%","100%",0,1,2,2,"100.0%","0.0%","8.3%","0%",142,-46,1,5.2,"14.1%",323,"19.4%",,162,"18.6%",,1.03,0.4
"Bang","SK Telecom T1","ADC",14,"64%","43%",51,17,44,5.6,"68.3%","36.7%","15.7%","21%",21,-33,0.5,10.1,"32.3%",565,"31.3%",,304,"25.7%",,0.43,0.27
"Bdd","Longzhu Gaming","Middle",4,"75%","75%",10,3,22,10.7,"71.1%","22.2%","9.4%","25%",-138,-252,-2.8,8.7,"26.7%",512,"26.8%",,266,"22.9%",,0.54,0.11
"Blank","SK Telecom T1","Jungle",6,"67%","100%",12,13,45,4.4,"82.6%","17.4%","27.1%","83%",328,392,-3.8,3.6,"10.0%",232,"13.8%",,203,"16.6%",,1.11,0.32
"CoreJJ","Samsung Galaxy","Support",2,"0%","50%",1,5,5,1.2,"66.7%","11.1%","20.8%","50%",-21,-81,0,1,"3.5%",63,"4.5%",,132,"12.4%",,1.33,0.29
"Crown","Samsung Galaxy","Middle",3,"0%","67%",5,10,4,0.9,"81.8%","45.5%","27.8%","33%",-175,-268,-3.3,8.1,"23.2%",399,"30.8%",,219,"22.4%",,0.5,0.2
"CuVee","Samsung Galaxy","Top",3,"0%","67%",2,5,4,1.2,"54.5%","18.2%","13.9%","0%",245,240,6.3,9.3,"28.4%",316,"21.7%",,231,"23.3%",,0.57,0.15
"Cuzz","Longzhu Gaming","Jungle",4,"75%","0%",1,10,32,3.3,"73.3%","2.2%","31.3%","25%",-378,-596,0,4,"13.0%",203,"10.1%",,187,"16.0%",,1.02,0.45
"Deft","KT Rolster","ADC",5,"40%","60%",16,11,15,2.8,"75.6%","39.0%","23.9%","20%",54,134,5.2,9.9,"31.3%",617,"33.2%",,289,"26.4%",,0.46,0.32
"Faker","SK Telecom T1","Middle",14,"64%","29%",40,24,61,4.2,"72.7%","28.8%","22.2%","29%",135,129,2.8,9.6,"27.8%",490,"27.2%",,293,"24.8%",,0.38,0.33
"GorillA","Longzhu Gaming","Support",4,"75%","75%",6,4,24,7.5,"66.7%","13.3%","12.5%","0%",45,234,6.5,1.1,"3.0%",150,"8.3%",,151,"13.0%",,1.4,0.14
"Haru","Samsung Galaxy","Jungle",2,"0%","50%",0,4,9,2.3,"100.0%","0.0%","16.7%","50%",24,-245,0,4.1,"11.6%",90,"6.5%",,169,"16.4%",,0.92,0.3
"Huni","SK Telecom T1","Top",2,"50%","100%",5,5,3,1.6,"44.4%","27.8%","31.3%","0%",-505,-359,-5,8.5,"27.3%",344,"23.8%",,257,"22.4%",,0.51,0.16
"Khan","Longzhu Gaming","Top",4,"75%","25%",18,9,15,3.7,"73.3%","40.0%","28.1%","25%",492,329,14.3,8.5,"29.2%",607,"30.6%",,297,"24.7%",,0.6,0.15
"Kramer","Kwangdong Freecs","ADC",2,"0%","50%",4,4,3,1.8,"70.0%","40.0%","16.0%","100%",-43,-172,-16,9,"30.9%",386,"26.1%",,248,"25.6%",,0.48,0.37
"Kuro","Kwangdong Freecs","Middle",2,"0%","100%",4,4,1,1.3,"50.0%","40.0%","16.0%","50%",-52,-17,8,9.1,"29.2%",346,"23.4%",,235,"24.3%",,0.52,0.19
"MaRin","Kwangdong Freecs","Top",2,"0%","50%",0,7,3,0.4,"30.0%","0.0%","28.0%","0%",-135,-361,-2.5,8.3,"26.1%",510,"36.6%",,200,"20.6%",,0.46,0.07
"Mata","KT Rolster","Support",5,"40%","60%",2,8,27,3.6,"70.7%","4.9%","17.4%","20%",-71,-288,4.8,1.1,"3.2%",121,"6.3%",,116,"10.5%",,1.6,0.43
"PawN","KT Rolster","Middle",5,"40%","60%",13,8,22,4.4,"85.4%","31.7%","17.4%","0%",-143,7,-6.8,8.4,"25.4%",566,"31.5%",,257,"23.7%",,0.59,0.16
"Peanut","SK Telecom T1","Jungle",8,"63%","63%",7,12,44,4.3,"72.9%","10.0%","20.0%","13%",23,251,0.3,4.4,"11.9%",240,"13.1%",,190,"16.6%",,0.78,0.34
"PraY","Longzhu Gaming","ADC",4,"75%","50%",10,6,16,4.3,"57.8%","22.2%","18.8%","0%",122,50,6.5,8.9,"28.0%",468,"24.2%",,272,"23.4%",,0.42,0.25
"Ruler","Samsung Galaxy","ADC",2,"0%","50%",2,5,4,1.2,"66.7%","22.2%","20.8%","50%",-223,-12,-10.5,10,"33.4%",477,"35.7%",,273,"26.4%",,0.32,0.38
"Score","KT Rolster","Jungle",5,"40%","0%",3,10,29,3.2,"78.0%","7.3%","21.7%","40%",-49,-171,3.4,4.2,"11.4%",201,"11.2%",,184,"17.1%",,0.83,0.3
"Smeb","KT Rolster","Top",5,"40%","40%",7,9,16,2.6,"56.1%","17.1%","19.6%","20%",168,97,5.6,9.1,"28.6%",327,"17.9%",,240,"22.3%",,0.5,0.14
"Spirit","Kwangdong Freecs","Jungle",2,"0%","50%",1,4,2,0.8,"30.0%","10.0%","16.0%","50%",-292,-290,1.5,3.8,"10.8%",126,"8.3%",,147,"15.2%",,0.94,0.57
"Stitch","Samsung Galaxy","ADC",1,"0%","100%",1,4,0,0.3,"50.0%","50.0%","33.3%","0%",-514,-33,-6,9.1,"28.9%",352,"21.2%",,208,"23.9%",,0.31,0.28
"TusiN","Kwangdong Freecs","Support",2,"0%","0%",1,6,6,1.2,"70.0%","10.0%","24.0%","100%",469,-161,11,1.1,"3.0%",84,"5.6%",,139,"14.3%",,1.6,0.23
"Untara","SK Telecom T1","Top",12,"67%","50%",20,17,60,4.7,"66.1%","16.5%","18.5%","25%",-188,-90,-7.4,8.5,"25.8%",367,"20.4%",,248,"20.9%",,0.51,0.15
"Wolf","SK Telecom T1","Support",14,"64%","50%",4,20,96,5,"71.9%","2.9%","18.5%","21%",-21,99,-5.9,0.8,"2.8%",127,"7.2%",,143,"11.7%",,1.23,0.4
"Wraith","Samsung Galaxy","Support",1,"0%","0%",0,2,0,0,"0.0%","0.0%","16.7%","0%",-422,-396,10,1.5,"5.2%",140,"8.4%",,83,"9.6%",,1.09,0.22
