"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","WCPM"
"Acorn","Samsung Blue","Top",18,"78%",,44,34,156,5.9,"65.6%","14.4%","17.2%",,,,,,,,,,246,"21.8%",,,
"Alvingo","Xenics Storm","Middle",6,"0%",,10,24,25,1.5,"71.4%","20.4%","22.9%",,,,,,,,,,183,"23.9%",,,
"Ambition","CJ Entus Blaze","Middle",21,"57%",,71,54,122,3.6,"73.9%","27.2%","17.7%",,,,,,,,,,254,"24.6%",,,
"Apple","Incredible Miracle 2","Top",6,"33%",,15,20,33,2.4,"56.5%","17.6%","27.4%",,,,,,,,,,189,"20.0%",,,
"Arrow","KT Rolster Arrows","ADC",10,"50%",,47,20,75,6.1,"68.5%","26.4%","18.2%",,,,,,,,,,233,"22.5%",,,
"Bang","SK Telecom T1 S","ADC",7,"43%",,13,16,33,2.9,"69.7%","19.7%","17.4%",,,,,,,,,,246,"26.1%",,,
"BBuing","Incredible Miracle 1","Support",6,"33%",,4,27,47,1.9,"69.9%","5.5%","30.7%",,,,,,,,,,87,"8.9%",,,
"Bengi","SK Telecom T1 K","Jungle",11,"45%",,21,35,82,2.9,"66.5%","13.5%","21.3%",,,,,,,,,,160,"15.3%",,,
"BetKyo","Incredible Miracle 2","ADC",2,"0%",,5,4,7,3,"75.0%","31.3%","12.1%",,,,,,,,,,212,"27.2%",,,
"Cain","NaJin Black Sword","Support",6,"50%",,10,22,28,1.7,"50.0%","13.2%","25.6%",,,,,,,,,,104,"10.5%",,,
"Chaser","Jin Air Green Wings Falcons","Jungle",6,"0%",,13,27,21,1.3,"70.8%","27.1%","21.8%",,,,,,,,,,128,"17.1%",,,
"Chei","Xenics Storm","Support",6,"0%",,3,16,34,2.3,"75.5%","6.1%","15.2%",,,,,,,,,,96,"11.8%",,,
"Coco","CJ Entus Frost","Middle",10,"50%",,52,19,79,6.9,"74.0%","29.4%","13.9%",,,,,,,,,,256,"24.9%",,,
"dade","Samsung Blue","Middle",18,"78%",,86,44,131,4.9,"71.1%","28.2%","22.2%",,,,,,,,,,284,"25.1%",,,
"DanDy","Samsung White","Jungle",19,"68%",,56,55,177,4.2,"72.8%","17.5%","22.4%",,,,,,,,,,202,"17.1%",,,
"DayDream","CJ Entus Blaze","Jungle",21,"57%",,45,64,148,3,"73.9%","17.2%","21.0%",,,,,,,,,,179,"16.5%",,,
"Deft","Samsung Blue","ADC",18,"78%",,70,42,146,5.1,"70.8%","23.0%","21.2%",,,,,,,,,,253,"22.5%",,,
"Duke","KT Rolster Bullets","Top",11,"55%",,16,26,80,3.7,"53.3%","8.9%","19.7%",,,,,,,,,,211,"20.7%",,,
