"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","WCPM"
"Acorn","Samsung Blue","Top",18,"72%",,66,57,162,4,"64.6%","18.7%","19.1%",,,,,,,,,,247,"21.1%",,,
"Ambition","CJ Entus Blaze","Middle",6,"50%",,25,15,48,4.9,"67.6%","23.1%","15.3%",,,,,,,,,,,,,,
"Arrow","KT Rolster Arrows","ADC",21,"67%",,117,61,169,4.7,"75.3%","30.8%","20.4%",,,,,,,,,,235,"21.8%",,,
"Bang","SK Telecom T1 S","ADC",19,"47%",,72,46,75,3.2,"72.1%","35.3%","19.5%",,,,,,,,,,242,"26.0%",,,
"BBuing","Incredible Miracle 1","Support",6,"17%",,6,26,31,1.4,"62.7%","10.2%","20.5%",,,,,,,,,,,,,,
"Beast","Bigfile Miracle","Jungle",6,"0%",,5,29,19,0.8,"55.8%","11.6%","23.0%",,,,,,,,,,,,,,
"Bengi","SK Telecom T1 K","Jungle",10,"40%",,14,26,74,3.4,"62.9%","10.0%","18.6%",,,,,,,,,,142,"15.3%",,,
"BetKyo","MKZ","ADC",6,"0%",,19,28,33,1.9,"72.2%","26.4%","17.3%",,,,,,,,,,,,,,
"Bory","Incredible Miracle 1","ADC",6,"17%",,15,25,18,1.3,"55.9%","25.4%","19.7%",,,,,,,,,,,,,,
"Cain","NaJin Black Sword","Support",11,"64%",,9,25,104,4.5,"75.3%","6.0%","26.0%",,,,,,,,,,125,"11.5%",,,
"Chaser","Jin Air Green Wings Stealths","Jungle",9,"44%",,35,35,82,3.3,"70.5%","21.1%","23.6%",,,,,,,,,,165,"16.1%",,,
"Chei","Jin Air Green Wings Stealths","Support",9,"44%",,10,27,106,4.3,"69.9%","6.0%","18.2%",,,,,,,,,,115,"11.1%",,,
"Coco","CJ Entus Frost","Middle",6,"50%",,12,11,27,3.5,"60.0%","18.5%","14.7%",,,,,,,,,,,,,,
"CoreJJ","Bigfile Miracle","ADC",6,"0%",,21,27,14,1.3,"81.4%","48.8%","21.4%",,,,,,,,,,,,,,
"Cpt Jack","Jin Air Green Wings Stealths","ADC",9,"44%",,60,31,58,3.8,"71.1%","36.1%","20.9%",,,,,,,,,,280,"27.4%",,,
"dade","Samsung Blue","Middle",18,"72%",,101,59,137,4,"67.4%","28.6%","19.8%",,,,,,,,,,277,"24.0%",,,
"DanDy","Samsung White","Jungle",17,"71%",,68,31,119,6,"62.3%","22.7%","16.9%",,,,,,,,,,204,"17.2%",,,
"DayDream","CJ Entus Blaze","Jungle",6,"50%",,17,22,54,3.2,"65.7%","15.7%","22.4%",,,,,,,,,,,,,,
"Deft","Samsung Blue","ADC",18,"72%",,102,66,151,3.8,"71.7%","28.9%","22.1%",,,,,,,,,,286,"24.5%",,,
"Duke","NaJin Black Sword","Top",11,"64%",,38,19,48,4.5,"57.3%","25.3%","19.8%",,,,,,,,,,262,"24.5%",,,
"Easyhoon","SK Telecom T1 S","Middle",19,"47%",,46,32,107,4.8,"75.0%","22.5%","13.6%",,,,,,,,,,248,"28.0%",,,
"Emperor","CJ Entus Blaze","ADC",6,"50%",,30,19,46,4,"70.4%","27.8%","19.4%",,,,,,,,,,,,,,
"Faker","SK Telecom T1 K","Middle",10,"40%",,41,24,50,3.8,"65.0%","29.3%","17.1%",,,,,,,,,,252,"28.1%",,,
"Flame","CJ Entus Blaze","Top",6,"50%",,29,16,46,4.7,"69.4%","26.9%","16.3%",,,,,,,,,,,,,,
"Fly","Jin Air Green Wings Stealths","Middle",9,"44%",,32,25,84,4.6,"69.9%","19.3%","16.9%",,,,,,,,,,250,"25.0%",,,
"Frozen","Incredible Miracle 2","Middle",6,"50%",,31,15,22,3.5,"67.9%","39.7%","17.6%",,,,,,,,,,,,,,
"GBM","Jin Air Green Wings Falcons","Middle",6,"33%",,16,14,41,4.1,"74.0%","20.8%","15.1%",,,,,,,,,,250,"25.7%",,,
"Ggoong","NaJin White Shield","Middle",11,"45%",,32,21,70,4.9,"69.4%","21.8%","13.5%",,,,,,,,,,266,"25.6%",,,
"GimGoon","KT Rolster Bullets","Top",2,"0%",,0,6,6,1,"66.7%","0.0%","16.2%",,,,,,,,,,,,,,
"GorillA","NaJin White Shield","Support",11,"45%",,8,40,102,2.8,"74.8%","5.4%","25.6%",,,,,,,,,,129,"12.2%",,,
"Gunza","CJ Entus Blaze","Support",6,"50%",,7,26,70,3,"71.3%","6.5%","26.5%",,,,,,,,,,,,,,
"H0R0","SK Telecom T1 S","Jungle",19,"47%",,39,62,102,2.3,"69.1%","19.1%","26.3%",,,,,,,,,,130,"13.9%",,,
"Hachani","KT Rolster Arrows","Support",21,"67%",,32,74,249,3.8,"73.9%","8.4%","24.7%",,,,,,,,,,136,"12.3%",,,
"Heart","Samsung Blue","Support",18,"72%",,24,66,248,4.1,"77.1%","6.8%","22.1%",,,,,,,,,,158,"13.5%",,,
"Hojin","NaJin Black Sword","Jungle",11,"64%",,17,21,76,4.4,"62.0%","11.3%","21.9%",,,,,,,,,,166,"15.3%",,,
"huhi","Bigfile Miracle","Middle",6,"0%",,12,19,9,1.1,"48.8%","27.9%","15.1%",,,,,,,,,,,,,,
"imp","Samsung White","ADC",17,"71%",,103,45,111,4.8,"71.3%","34.3%","24.6%",,,,,,,,,,305,"25.9%",,,
"Impact","SK Telecom T1 K","Top",10,"40%",,27,29,56,2.9,"59.3%","19.3%","20.7%",,,,,,,,,,213,"22.9%",,,
"KaKAO","KT Rolster Arrows","Jungle",21,"67%",,57,58,204,4.5,"68.7%","15.0%","19.4%",,,,,,,,,,184,"16.8%",,,
"Kuro","NaJin Black Sword","Middle",11,"64%",,36,17,74,6.5,"73.3%","24.0%","17.7%",,,,,,,,,,278,"27.0%",,,
"Lilac","Incredible Miracle 2","Top",6,"50%",,12,17,26,2.2,"48.7%","15.4%","20.0%",,,,,,,,,,,,,,
"Limit","KT Rolster Bullets","Top",4,"50%",,11,7,24,5,"70.0%","22.0%","14.0%",,,,,,,,,,281,"23.4%",,,
"LinLan","Bigfile Miracle","Support",6,"0%",,1,25,32,1.3,"76.7%","2.3%","19.8%",,,,,,,,,,,,,,
"Looper","Samsung White","Top",17,"71%",,51,29,120,5.9,"57.0%","17.0%","15.8%",,,,,,,,,,242,"20.9%",,,
"MadLife","CJ Entus Frost","Support",6,"50%",,7,16,45,3.3,"80.0%","10.8%","21.3%",,,,,,,,,,,,,,
"Mafa","KT Rolster Bullets","Support",6,"33%",,5,16,45,3.1,"84.7%","8.5%","18.4%",,,,,,,,,,201,"15.5%",,,
"MaRin","SK Telecom T1 S","Top",19,"47%",,34,46,81,2.5,"56.4%","16.7%","19.5%",,,,,,,,,,205,"21.9%",,,
"Mata","Samsung White","Support",17,"71%",,15,40,199,5.4,"71.3%","5.0%","21.9%",,,,,,,,,,136,"11.1%",,,
"MidKing","MKZ","Middle",6,"0%",,17,29,30,1.6,"65.3%","23.6%","17.9%",,,,,,,,,,,,,,
"Nagne","KT Rolster Bullets","Middle",6,"33%",,16,15,29,3,"76.3%","27.1%","17.2%",,,,,,,,,,341,"27.0%",,,
"Ohq","NaJin Black Sword","ADC",11,"64%",,50,14,54,7.4,"69.3%","33.3%","14.6%",,,,,,,,,,233,"21.7%",,,
"PawN","Samsung White","Middle",17,"71%",,63,38,143,5.4,"68.7%","21.0%","20.8%",,,,,,,,,,293,"24.9%",,,
"Piglet","SK Telecom T1 K","ADC",10,"40%",,47,27,34,3,"57.9%","33.6%","19.3%",,,,,,,,,,215,"23.2%",,,
"Pilot","Jin Air Green Wings Falcons","ADC",6,"33%",,27,19,30,3,"74.0%","35.1%","20.4%",,,,,,,,,,248,"25.5%",,,
"PLL","MKZ","Top",6,"0%",,14,33,22,1.1,"50.0%","19.4%","20.4%",,,,,,,,,,,,,,
"PoohManDu","SK Telecom T1 K","Support",10,"40%",,11,34,82,2.7,"66.4%","7.9%","24.3%",,,,,,,,,,104,"10.6%",,,
"Procxin","MKZ","Jungle",6,"0%",,19,35,29,1.4,"66.7%","26.4%","21.6%",,,,,,,,,,,,,,
"Rock","Jin Air Green Wings Falcons","Top",6,"33%",,24,23,26,2.2,"64.9%","31.2%","24.7%",,,,,,,,,,247,"25.5%",,,
"Rookie","KT Rolster Arrows","Middle",21,"67%",,94,55,182,5,"72.6%","24.7%","18.4%",,,,,,,,,,263,"24.2%",,,
"Ryu","KT Rolster Bullets","Jungle",6,"33%",,10,24,28,1.6,"64.4%","16.9%","27.6%",,,,,,,,,,187,"14.3%",,,
"Save","NaJin White Shield","Top",11,"45%",,35,31,52,2.8,"59.2%","23.8%","19.9%",,,,,,,,,,244,"22.9%",,,
"Score","KT Rolster Bullets","ADC",6,"33%",,17,19,31,2.5,"81.4%","28.8%","21.8%",,,,,,,,,,252,"19.7%",,,
"Shy","CJ Entus Frost","Top",6,"50%",,10,13,19,2.2,"44.6%","15.4%","17.3%",,,,,,,,,,,,,,
"Smeb","Incredible Miracle 1","Top",6,"17%",,15,26,25,1.5,"67.8%","25.4%","20.5%",,,,,,,,,,,,,,
"Smurph","Incredible Miracle 1","Jungle",6,"17%",,9,30,31,1.3,"67.8%","15.3%","23.6%",,,,,,,,,,,,,,
"Sonstar","Incredible Miracle 2","ADC",6,"50%",,18,17,36,3.2,"69.2%","23.1%","20.0%",,,,,,,,,,,,,,
"Space","CJ Entus Frost","ADC",6,"50%",,30,17,18,2.8,"73.8%","46.2%","22.7%",,,,,,,,,,,,,,
"Spirit","Samsung Blue","Jungle",18,"72%",,60,50,176,4.7,"66.9%","17.0%","16.8%",,,,,,,,,,198,"17.0%",,,
"Ssumday","KT Rolster Arrows","Top",21,"67%",,80,51,164,4.8,"64.2%","21.1%","17.1%",,,,,,,,,,268,"24.9%",,,
"SuDal","Bigfile Miracle","Top",6,"0%",,4,26,18,0.8,"51.2%","9.3%","20.6%",,,,,,,,,,,,,,
"Sweet","Jin Air Green Wings Falcons","Support",6,"33%",,8,19,51,3.1,"76.6%","10.4%","20.4%",,,,,,,,,,100,"9.8%",,,
"Swift","CJ Entus Frost","Jungle",6,"50%",,6,18,49,3.1,"84.6%","9.2%","24.0%",,,,,,,,,,,,,,
"Thy","Incredible Miracle 1","Middle",6,"17%",,14,20,18,1.6,"54.2%","23.7%","15.7%",,,,,,,,,,,,,,
"TrAce","Jin Air Green Wings Stealths","Top",9,"44%",,29,30,71,3.3,"60.2%","17.5%","20.3%",,,,,,,,,,205,"20.4%",,,
"TusiN","Incredible Miracle 2","Support",6,"50%",,5,18,49,3,"69.2%","6.4%","21.2%",,,,,,,,,,,,,,
"Vin","Jin Air Green Wings Falcons","Jungle",6,"33%",,2,18,46,2.7,"62.3%","2.6%","19.4%",,,,,,,,,,134,"13.5%",,,
"Violet","MKZ","Support",6,"0%",,3,37,48,1.4,"70.8%","4.2%","22.8%",,,,,,,,,,,,,,
"Watch","NaJin White Shield","Jungle",11,"45%",,37,34,57,2.8,"63.9%","25.2%","21.8%",,,,,,,,,,171,"15.9%",,,
"Wisdom","Incredible Miracle 2","Jungle",6,"50%",,12,18,39,2.8,"65.4%","15.4%","21.2%",,,,,,,,,,,,,,
"Wolf","SK Telecom T1 S","Support",19,"47%",,13,50,131,2.9,"70.6%","6.4%","21.2%",,,,,,,,,,99,"10.1%",,,
"Zefa","NaJin White Shield","ADC",11,"45%",,35,30,70,3.5,"71.4%","23.8%","19.2%",,,,,,,,,,248,"23.5%",,,
