"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","WCPM"
"Acorn","Samsung Blue","Top",9,"33%",,15,31,55,2.3,"61.9%","13.3%","21.8%",,,,,,,,,,201,"22.6%",,,
"Ambition","CJ Entus Blaze","Middle",11,"45%",,46,27,39,3.1,"64.9%","35.1%","21.3%",,,,,,,,,,230,"24.8%",,,
"Arrow","Xenics Storm","ADC",11,"55%",,58,14,71,9.2,"73.3%","33.0%","10.1%",,,,,,,,,,252,"25.0%",,,
"asd","Team NB","ADC",6,"0%",,9,30,7,0.5,"55.2%","31.0%","23.6%",,,,,,,,,,167,"27.9%",,,
"Bang","SK Telecom T1 S","ADC",7,"43%",,26,6,38,10.7,"72.7%","29.5%","7.4%",,,,,,,,,,243,"26.6%",,,
"Bengi","SK Telecom T1 K","Jungle",15,"100%",,37,26,134,6.6,"63.1%","13.7%","22.0%",,,,,,,,,,177,"15.1%",,,
"BetKyo","Incredible Miracle 2","ADC",5,"20%",,23,15,20,2.9,"69.4%","37.1%","14.9%",,,,,,,,,,224,"25.4%",,,
"Cain","NaJin Black Sword","Support",1,"100%",,0,1,12,12,"70.6%","0.0%","14.3%",,,,,,,,,,99,"9.0%",,,
"Chaser","Jin Air Green Wings Stealths","Jungle",6,"33%",,15,20,40,2.8,"71.4%","19.5%","23.3%",,,,,,,,,,128,"15.7%",,,
"Chop","Team Dark","Top",4,"0%",,10,14,10,1.4,"62.5%","31.3%","17.5%",,,,,,,,,,211,"25.1%",,,
"Coco","Xenics Storm","Middle",11,"55%",,50,30,75,4.2,"71.0%","28.4%","21.6%",,,,,,,,,,267,"27.0%",,,
"Cpt Jack","CJ Entus Blaze","ADC",4,"50%",,11,9,18,3.2,"52.7%","20.0%","22.0%",,,,,,,,,,234,"24.2%",,,
"dade","Samsung White","Middle",17,"71%",,85,43,113,4.6,"68.8%","29.5%","21.3%",,,,,,,,,,272,"24.5%",,,
"DanDy","Samsung White","Jungle",17,"71%",,56,40,129,4.6,"64.2%","19.4%","19.8%",,,,,,,,,,190,"16.6%",,,
"DayDream","CJ Entus Blaze","Jungle",11,"45%",,18,30,65,2.8,"63.4%","13.7%","23.6%",,,,,,,,,,127,"14.1%",,,
"Deft","Samsung Blue","ADC",9,"33%",,38,27,36,2.7,"65.5%","33.6%","19.0%",,,,,,,,,,229,"25.7%",,,
"Duke","KT Rolster Bullets","Top",4,"75%",,12,1,25,37,"66.1%","21.4%","2.8%",,,,,,,,,,263,"23.3%",,,
"Easyhoon","SK Telecom T1 S","Middle",7,"43%",,24,15,35,3.9,"67.0%","27.3%","18.5%",,,,,,,,,,238,"27.0%",,,
"Elf","Team NB","Middle",6,"0%",,9,18,12,1.2,"72.4%","31.0%","14.2%",,,,,,,,,,172,"29.2%",,,
"Emperor","CJ Entus Blaze","ADC",7,"43%",,20,13,41,4.7,"80.3%","26.3%","15.1%",,,,,,,,,,241,"27.1%",,,
"Expession","NaJin Black Sword","Top",5,"40%",,10,10,25,3.5,"57.4%","16.4%","18.2%",,,,,,,,,,203,"23.0%",,,
"Faker","SK Telecom T1 K","Middle",15,"100%",,86,26,97,7,"67.5%","31.7%","22.0%",,,,,,,,,,289,"24.7%",,,
"Fenix","Jin Air Green Wings Falcons","Top",6,"33%",,19,19,41,3.2,"68.2%","21.6%","15.2%",,,,,,,,,,193,"22.4%",,,
"Fixer","Incredible Miracle 2","Support",5,"20%",,2,20,40,2.1,"67.7%","3.2%","19.8%",,,,,,,,,,96,"10.6%",,,
"Flame","CJ Entus Blaze","Top",11,"45%",,25,17,45,4.1,"53.4%","19.1%","13.4%",,,,,,,,,,212,"22.9%",,,
"Gamsu","Alienware Arena","Top",4,"0%",,6,12,17,1.9,"71.9%","18.8%","16.0%",,,,,,,,,,167,"23.7%",,,
"GBM","CJ Entus Frost","Middle",6,"17%",,14,24,14,1.2,"62.2%","31.1%","26.1%",,,,,,,,,,194,"24.3%",,,
"Ggoong","NaJin White Shield","Middle",18,"56%",,82,50,109,3.8,"72.1%","30.9%","18.1%",,,,,,,,,,254,"25.5%",,,
"gi bao","Team Dark","Support",4,"0%",,4,19,14,0.9,"56.3%","12.5%","23.8%",,,,,,,,,,56,"6.4%",,,
"GimGoon","Xenics Storm","Top",11,"55%",,23,28,70,3.3,"52.8%","13.1%","20.1%",,,,,,,,,,203,"20.3%",,,
"GorillA","NaJin White Shield","Support",19,"53%",,16,69,190,3,"76.6%","5.9%","23.7%",,,,,,,,,,120,"11.7%",,,
"H0R0","SK Telecom T1 S","Jungle",7,"43%",,14,20,51,3.3,"73.9%","15.9%","24.7%",,,,,,,,,,132,"13.7%",,,
"Heart","Samsung Blue","Support",9,"33%",,9,34,63,2.1,"63.7%","8.0%","23.9%",,,,,,,,,,100,"10.6%",,,
"Helios","CJ Entus Frost","Jungle",10,"40%",,18,33,53,2.2,"65.7%","16.7%","23.9%",,,,,,,,,,129,"13.8%",,,
"Homme","Samsung White","Top",2,"50%",,6,5,8,2.8,"46.7%","20.0%","16.1%",,,,,,,,,,213,"21.8%",,,
"HooN","Jin Air Green Wings Stealths","Middle",6,"33%",,19,16,28,2.9,"61.0%","24.7%","18.6%",,,,,,,,,,209,"25.3%",,,
"imp","Samsung White","ADC",17,"71%",,77,45,127,4.5,"70.8%","26.7%","22.3%",,,,,,,,,,290,"25.6%",,,
"Impact","SK Telecom T1 K","Top",15,"100%",,58,19,119,9.3,"65.3%","21.4%","16.1%",,,,,,,,,,256,"21.7%",,,
"inSec","KT Rolster Bullets","Top",13,"62%",,35,35,72,3.1,"58.8%","19.2%","24.0%",,,,,,,,,,204,"21.0%",,,
"Its now","Team Dark","ADC",4,"0%",,8,17,14,1.3,"68.8%","25.0%","21.3%",,,,,,,,,,220,"26.5%",,,
"Jelly","Alienware Arena","Support",4,"0%",,3,10,21,2.4,"75.0%","9.4%","13.3%",,,,,,,,,,87,"10.1%",,,
"KaKAO","KT Rolster Bullets","Jungle",17,"65%",,36,43,120,3.6,"65.5%","15.1%","23.6%",,,,,,,,,,162,"16.0%",,,
"Kite","Alienware Arena","ADC",4,"0%",,13,14,9,1.6,"68.8%","40.6%","18.7%",,,,,,,,,,205,"29.8%",,,
"Knight","Jin Air Green Wings Falcons","ADC",2,"50%",,5,5,13,3.6,"66.7%","18.5%","14.7%",,,,,,,,,,181,"23.0%",,,
"Kuro","Incredible Miracle 2","Middle",5,"20%",,20,20,18,1.9,"61.3%","32.3%","19.8%",,,,,,,,,,221,"24.8%",,,
"LongPanda","Team NB","Top",6,"0%",,5,26,11,0.6,"55.2%","17.2%","20.5%",,,,,,,,,,135,"21.9%",,,
"Looper","Samsung White","Top",15,"73%",,41,21,112,7.3,"59.3%","15.9%","12.3%",,,,,,,,,,258,"22.5%",,,
"Lustboy","CJ Entus Blaze","Support",11,"45%",,11,31,73,2.7,"64.1%","8.4%","24.4%",,,,,,,,,,118,"12.2%",,,
"MadLife","CJ Entus Frost","Support",10,"40%",,6,27,70,2.8,"70.4%","5.6%","19.6%",,,,,,,,,,103,"10.9%",,,
"Mafa","KT Rolster Bullets","Support",17,"65%",,18,42,160,4.2,"74.8%","7.6%","23.1%",,,,,,,,,,135,"13.2%",,,
"MakNooN","CJ Entus Frost","Middle",4,"75%",,18,13,26,3.4,"69.8%","28.6%","28.3%",,,,,,,,,,254,"25.2%",,,
"MaRin","SK Telecom T1 S","Top",7,"43%",,18,22,26,2,"50.0%","20.5%","27.2%",,,,,,,,,,200,"21.9%",,,
"Mata","Samsung White","Support",17,"71%",,23,48,162,3.9,"64.2%","8.0%","23.8%",,,,,,,,,,124,"10.9%",,,
"MyLittlePony","Team NB","Support",6,"0%",,2,32,14,0.5,"55.2%","6.9%","25.2%",,,,,,,,,,45,"7.0%",,,
"Mystic","Jin Air Green Wings Stealths","ADC",6,"33%",,18,14,34,3.7,"67.5%","23.4%","16.3%",,,,,,,,,,226,"27.3%",,,
"Nagne","NaJin Black Sword","Middle",1,"100%",,8,0,9,17,"100.0%","47.1%","0.0%",,,,,,,,,,327,"29.8%",,,
"NoFe","NaJin White Shield","Jungle",19,"53%",,28,62,155,3,"68.0%","10.4%","21.3%",,,,,,,,,,139,"14.3%",,,
"Nova","Alienware Arena","Jungle",4,"0%",,3,16,12,0.9,"46.9%","9.4%","21.3%",,,,,,,,,,92,"12.4%",,,
"PawN","Samsung Blue","Middle",9,"33%",,30,25,45,3,"66.4%","26.5%","17.6%",,,,,,,,,,231,"25.8%",,,
"Peng","NaJin Black Sword","Middle",4,"25%",,12,9,17,3.2,"65.9%","27.3%","18.8%",,,,,,,,,,239,"29.2%",,,
"Piccaboo","Xenics Storm","Support",11,"55%",,14,34,102,3.4,"65.9%","8.0%","24.5%",,,,,,,,,,122,"12.2%",,,
"Piglet","SK Telecom T1 K","ADC",15,"100%",,73,17,104,10.4,"65.3%","26.9%","14.4%",,,,,,,,,,297,"25.0%",,,
"PLL","Incredible Miracle 2","Top",5,"20%",,9,23,28,1.6,"59.7%","14.5%","22.8%",,,,,,,,,,200,"22.9%",,,
"Plls","Team Dark","Middle",4,"0%",,5,15,16,1.4,"65.6%","15.6%","18.8%",,,,,,,,,,204,"24.4%",,,
"PoohManDu","SK Telecom T1 K","Support",15,"100%",,17,30,186,6.8,"74.9%","6.3%","25.4%",,,,,,,,,,161,"13.4%",,,
"PraY","NaJin Black Sword","ADC",5,"40%",,23,13,22,3.5,"73.8%","37.7%","23.6%",,,,,,,,,,234,"27.0%",,,
"Reapered","Jin Air Green Wings Falcons","Middle",4,"25%",,21,23,21,1.8,"68.9%","34.4%","25.3%",,,,,,,,,,226,"25.8%",,,
"Reignover","Incredible Miracle 2","Jungle",5,"20%",,8,23,29,1.6,"59.7%","12.9%","22.8%",,,,,,,,,,148,"16.4%",,,
"Roar","Jin Air Green Wings Falcons","ADC",4,"25%",,8,17,28,2.1,"59.0%","13.1%","18.7%",,,,,,,,,,212,"25.0%",,,
"Rock","Alienware Arena","Middle",4,"0%",,7,23,10,0.7,"53.1%","21.9%","30.7%",,,,,,,,,,160,"23.9%",,,
"Rynder","Jin Air Green Wings Falcons","Middle",2,"50%",,11,5,8,3.8,"70.4%","40.7%","14.7%",,,,,,,,,,236,"29.5%",,,
"Ryu","KT Rolster Bullets","Middle",17,"65%",,78,31,85,5.3,"68.5%","32.8%","17.0%",,,,,,,,,,245,"24.3%",,,
"Save","NaJin White Shield","Middle",1,"0%",,0,5,0,0,"0.0%","0.0%","33.3%",,,,,,,,,,177,"21.7%",,,
"Save","NaJin White Shield","Top",18,"56%",,68,53,102,3.2,"64.2%","25.7%","19.2%",,,,,,,,,,233,"23.6%",,,
"Savila","Team Dark","Jungle",4,"0%",,5,15,12,1.1,"53.1%","15.6%","18.8%",,,,,,,,,,148,"17.7%",,,
"Score","KT Rolster Bullets","ADC",17,"65%",,59,30,107,5.5,"69.7%","24.8%","16.5%",,,,,,,,,,251,"25.0%",,,
"Seraph","NaJin White Shield","Top",1,"0%",,3,1,0,3,"75.0%","75.0%","6.7%",,,,,,,,,,268,"32.8%",,,
"Shy","CJ Entus Frost","Top",10,"40%",,24,19,48,3.8,"66.7%","22.2%","13.8%",,,,,,,,,,229,"25.3%",,,
"Sin","Jin Air Green Wings Falcons","Jungle",6,"33%",,18,28,45,2.3,"71.6%","20.5%","22.4%",,,,,,,,,,146,"16.3%",,,
"Space","CJ Entus Frost","ADC",10,"40%",,28,22,47,3.4,"69.4%","25.9%","15.9%",,,,,,,,,,228,"25.3%",,,
"Spirit","Samsung Blue","Jungle",9,"33%",,21,25,56,3.1,"68.1%","18.6%","17.6%",,,,,,,,,,137,"15.3%",,,
"Ssong","NaJin Black Sword","Support",4,"25%",,1,10,31,3.2,"72.7%","2.3%","20.8%",,,,,,,,,,72,"8.4%",,,
"StarLast","Jin Air Green Wings Falcons","Support",6,"33%",,6,28,52,2.1,"65.9%","6.8%","22.4%",,,,,,,,,,91,"9.8%",,,
"Swift","Xenics Storm","Jungle",11,"55%",,31,33,92,3.7,"69.9%","17.6%","23.7%",,,,,,,,,,156,"15.4%",,,
"TrAce","Jin Air Green Wings Stealths","Top",6,"33%",,18,15,27,3,"58.4%","23.4%","17.4%",,,,,,,,,,184,"22.9%",,,
"Vin","Team NB","Jungle",6,"0%",,4,21,15,0.9,"65.5%","13.8%","16.5%",,,,,,,,,,84,"14.0%",,,
"Watch","NaJin Black Sword","Jungle",5,"40%",,7,12,37,3.7,"72.1%","11.5%","21.8%",,,,,,,,,,105,"12.2%",,,
"Wolf","SK Telecom T1 S","Support",7,"43%",,6,18,59,3.6,"73.9%","6.8%","22.2%",,,,,,,,,,110,"10.9%",,,
"Wraith","Jin Air Green Wings Stealths","Support",6,"33%",,7,21,42,2.3,"63.6%","9.1%","24.4%",,,,,,,,,,75,"8.9%",,,
"Zefa","NaJin White Shield","ADC",19,"53%",,72,51,111,3.6,"68.0%","26.8%","17.5%",,,,,,,,,,244,"24.7%",,,
