"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","WCPM"
"Ambition","Gen.G","Jungle",2,"0%","0%",6,10,5,1.1,"84.6%","46.2%","27.8%","0%",-223,411,5,5.8,"14.8%",227,"12.7%",,190,"18.9%",,0.34,0.61
"Bdd","Kingzone DragonX","Middle",4,"25%","0%",8,8,6,1.8,"58.3%","33.3%","14.3%","0%",125,-165,12.5,9.5,"25.3%",326,"24.4%",,233,"24.3%",,0.55,0.16
"Chovy","Griffin","Middle",10,"50%","70%",31,10,47,7.8,"67.2%","26.7%","10.9%","0%",79,129,4.5,10,"27.5%",521,"27.8%",,279,"24.7%",,0.57,0.33
"CoreJJ","Gen.G","Support",2,"0%","100%",1,7,11,1.7,"92.3%","7.7%","19.4%","0%",-356,-33,-8.5,1.3,"5.0%",189,"10.3%",,83,"8.7%",,1.72,0.6
"CuVee","Gen.G","Top",2,"0%","0%",1,6,11,2,"92.3%","7.7%","16.7%","0%",-219,-82,-5.5,8,"23.3%",309,"16.7%",,200,"21.7%",,0.58,0.38
"Deft","KT Rolster","ADC",5,"60%","60%",19,12,23,3.5,"68.9%","31.1%","20.0%","40%",-153,-77,-3.2,10.5,"32.9%",584,"32.6%",,322,"28.1%",,0.5,0.37
"Fly","Gen.G","Middle",2,"0%","100%",2,5,8,2,"76.9%","15.4%","13.9%","0%",-23,144,0.5,7.8,"20.0%",535,"28.6%",,188,"20.1%",,0.67,0.23
"GorillA","Kingzone DragonX","Support",4,"25%","75%",0,11,14,1.3,"58.3%","0.0%","19.6%","0%",-208,-358,-0.5,1,"3.2%",113,"9.0%",,77,"7.9%",,1.66,0.47
"Khan","Kingzone DragonX","Top",4,"25%","25%",4,11,10,1.3,"58.3%","16.7%","19.6%","0%",-13,-25,8,9.2,"27.1%",341,"25.6%",,236,"24.7%",,0.57,0.33
"Kiin","Kwangdong Freecs","Top",11,"64%","64%",33,17,49,4.8,"66.7%","26.8%","18.3%","27%",47,10,-2.5,10.1,"28.2%",461,"27.0%",,311,"25.7%",,0.54,0.17
"Kramer","Kwangdong Freecs","ADC",11,"64%","73%",38,20,48,4.3,"69.9%","30.9%","21.5%","64%",167,16,-2.1,10,"29.6%",442,"25.6%",,310,"26.2%",,0.49,0.39
"Kuro","Kwangdong Freecs","Middle",11,"64%","36%",23,17,44,3.9,"54.5%","18.7%","18.3%","9%",-115,-51,-7.3,9.2,"24.4%",473,"27.3%",,260,"22.0%",,0.48,0.36
"Lehends","Griffin","Support",10,"50%","70%",11,24,75,3.6,"74.1%","9.5%","26.1%","10%",74,57,-1.4,1.7,"4.9%",181,"9.7%",,112,"9.7%",,1.53,0.36
"Mata","KT Rolster","Support",5,"60%","40%",4,12,39,3.6,"70.5%","6.6%","20.0%","60%",26,-3,1.6,1,"3.2%",131,"7.1%",,94,"8.2%",,1.79,0.3
"Peanut","Kingzone DragonX","Jungle",4,"25%","50%",8,14,11,1.4,"79.2%","33.3%","25.0%","0%",-134,107,7.5,5.8,"15.8%",229,"17.5%",,182,"18.6%",,0.33,0.71
"PraY","Kingzone DragonX","ADC",4,"25%","50%",4,12,10,1.2,"58.3%","16.7%","21.4%","0%",-405,-164,-4.8,9.6,"28.7%",298,"23.6%",,240,"24.6%",,0.4,0.4
"Ruler","Gen.G","ADC",2,"0%","0%",3,8,5,1,"61.5%","23.1%","22.2%","0%",-663,-460,6,11.3,"36.9%",582,"31.7%",,291,"30.6%",,0.37,0.63
"Score","KT Rolster","Jungle",5,"60%","100%",12,9,27,4.3,"63.9%","19.7%","15.0%","60%",207,247,8.2,5.3,"13.3%",252,"14.8%",,196,"17.6%",,0.4,0.56
"Smeb","KT Rolster","Top",5,"60%","20%",14,12,25,3.3,"63.9%","23.0%","20.0%","0%",173,-12,5,8.4,"22.4%",407,"22.1%",,251,"21.9%",,0.58,0.17
"Spirit","Kwangdong Freecs","Jungle",11,"64%","64%",24,16,57,5.1,"65.9%","19.5%","17.2%","55%",235,-11,-1.5,5,"12.0%",239,"13.7%",,189,"16.0%",,1.22,0.57
"Sw0rd","Griffin","Top",10,"50%","70%",26,26,43,2.7,"59.5%","22.4%","28.3%","10%",-89,21,-1.9,9.1,"24.9%",405,"21.0%",,262,"23.1%",,0.58,0.23
"Tarzan","Griffin","Jungle",10,"50%","20%",17,20,61,3.9,"67.2%","14.7%","21.7%","20%",-264,-237,-6.5,4.7,"11.4%",258,"14.4%",,173,"15.3%",,0.65,0.52
"TusiN","Kwangdong Freecs","Support",11,"64%","18%",5,23,80,3.7,"69.1%","4.1%","24.7%","73%",61,85,2.3,1.9,"5.7%",107,"6.3%",,121,"10.1%",,1.89,0.42
"Ucal","KT Rolster","Middle",5,"60%","60%",12,15,23,2.3,"57.4%","19.7%","25.0%","40%",4,-71,-3.2,9.7,"28.3%",429,"23.3%",,271,"24.2%",,0.5,0.18
"Viper","Griffin","ADC",10,"50%","30%",31,12,58,7.4,"76.7%","26.7%","13.0%","10%",187,179,4.6,10.5,"31.3%",502,"27.0%",,304,"27.1%",,0.41,0.46
