"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","EGPM","GOLD%","WPM","WCPM"
"Hans sama","Rogue","ADC",11,"27%","55%",35,34,64,2.9,"62.3%","22.0%","17.4%","45%",199,-73,5.3,9.5,"32.9%",518,"26.8%",305,"27.2%",0.65,0.38
"Rekkles","G2 Esports","ADC",9,"33%","67%",30,15,37,4.5,"62.0%","27.8%","10.6%","11%",-13,-4,-1.3,9.5,"31.2%",521,"26.1%",299,"27.5%",0.75,0.47
"LIDER","Team Vitality","Middle",5,"40%","40%",15,17,20,2.1,"60.3%","25.9%","22.1%","20%",44,98,1.6,9.1,"28.2%",521,"23.6%",293,"26.5%",0.25,0.14
"Kobbe","Misfits Gaming","ADC",10,"40%","50%",17,23,53,3,"62.5%","15.2%","13.2%","0%",-154,20,-1.7,8.9,"28.8%",499,"25.2%",257,"23.8%",0.4,0.3
"Upset","Fnatic","ADC",22,"59%","32%",112,27,131,9,"63.1%","29.1%","9.3%","27%",292,77,4.2,8.9,"29.9%",572,"28.0%",311,"25.5%",0.64,0.28
"Humanoid","MAD Lions","Middle",11,"82%","45%",58,37,89,4,"67.7%","26.7%","22.6%","27%",-50,-41,0.1,8.8,"28.0%",543,"23.0%",322,"25.2%",0.41,0.21
"Caps","G2 Esports","Middle",9,"33%","56%",29,31,50,2.5,"73.1%","26.9%","22.0%","11%",-112,-2,1.8,8.7,"25.8%",505,"25.5%",272,"24.7%",0.35,0.2
"Vetheo","Misfits Gaming","Middle",10,"40%","60%",18,36,47,1.8,"58.0%","16.1%","20.7%","10%",-156,52,0.4,8.6,"25.7%",386,"19.2%",242,"22.6%",0.31,0.29
"HiRit","Misfits Gaming","Top",10,"40%","50%",35,40,39,1.9,"66.1%","31.3%","23.0%","20%",222,-113,0,8.3,"27.5%",573,"30.1%",283,"25.7%",0.36,0.18
"Larssen","Rogue","Middle",11,"27%","45%",39,28,63,3.6,"64.2%","24.5%","14.4%","0%",-129,79,0.3,8.3,"26.9%",465,"24.0%",268,"23.7%",0.35,0.12
"Nisqy","Fnatic","Middle",22,"59%","50%",102,62,160,4.2,"68.1%","26.5%","21.4%","41%",196,-64,-1.5,8.2,"25.0%",518,"25.4%",300,"24.5%",0.44,0.12
"Armut","MAD Lions","Top",11,"82%","55%",56,26,95,5.8,"69.6%","25.8%","15.9%","45%",280,127,5.7,8.1,"25.7%",647,"27.8%",321,"25.4%",0.5,0.22
"Szygenda","Team Vitality","Top",5,"40%","60%",13,15,26,2.6,"67.2%","22.4%","19.5%","40%",497,503,9.6,8.1,"21.8%",541,"25.5%",257,"23.0%",0.38,0.2
"Carzzy","MAD Lions","ADC",11,"82%","55%",45,35,78,3.5,"56.7%","20.7%","21.3%","0%",-340,27,-6.3,8,"26.7%",637,"27.1%",279,"22.0%",0.47,0.33
"Wunder","G2 Esports","Top",9,"33%","33%",26,31,31,1.8,"52.8%","24.1%","22.0%","0%",-390,-377,-4,7.8,"24.7%",467,"24.1%",241,"22.2%",0.47,0.13
"Crownshot","Team Vitality","ADC",5,"40%","80%",8,10,17,2.5,"43.1%","13.8%","13.0%","0%",-644,-269,-10.4,7.7,"27.2%",426,"21.0%",221,"20.5%",0.43,0.27
"Adam","Fnatic","Top",22,"59%","59%",65,70,109,2.5,"45.2%","16.9%","24.1%","27%",-155,-105,-5.5,7.6,"26.0%",423,"21.0%",258,"21.3%",0.48,0.17
"Odoamne","Rogue","Top",11,"27%","36%",32,44,65,2.2,"61.0%","20.1%","22.6%","9%",-78,266,4.2,7.1,"22.4%",452,"23.4%",238,"21.3%",0.38,0.16
"Selfmade","Team Vitality","Jungle",5,"40%","60%",21,16,24,2.8,"77.6%","36.2%","20.8%","60%",164,-53,0.2,6.6,"20.7%",511,"22.4%",251,"22.2%",0.39,0.15
"Bwipo","Fnatic","Jungle",22,"59%","50%",83,56,191,4.9,"71.2%","21.6%","19.3%","41%",211,213,6.6,5.6,"16.1%",370,"17.8%",227,"18.7%",0.42,0.29
"Elyoya","MAD Lions","Jungle",11,"82%","45%",50,21,112,7.7,"74.7%","23.0%","12.8%","55%",-119,-59,-5.5,5.6,"16.8%",364,"15.5%",238,"18.6%",0.45,0.36
"Razork","Misfits Gaming","Jungle",10,"40%","40%",34,41,48,2,"73.2%","30.4%","23.6%","0%",-230,129,2.5,5.6,"15.2%",354,"18.0%",203,"19.0%",0.43,0.36
"Jankos","G2 Esports","Jungle",9,"33%","44%",18,23,55,3.2,"67.6%","16.7%","16.3%","11%",-183,-157,-4.6,5.4,"15.4%",267,"13.7%",187,"16.9%",0.41,0.36
"Inspired","Rogue","Jungle",11,"27%","64%",48,34,58,3.1,"66.7%","30.2%","17.4%","27%",-18,-331,-6.5,5.2,"15.6%",358,"18.4%",215,"19.2%",0.33,0.31
"Hylissang","Fnatic","Support",22,"59%","45%",23,75,219,3.2,"62.9%","6.0%","25.9%","32%",174,257,2.2,1.2,"2.9%",163,"7.9%",125,"10.1%",1.41,0.38
"Mikyx","G2 Esports","Support",9,"33%","44%",5,41,73,1.9,"72.2%","4.6%","29.1%","11%",47,27,0,1.2,"2.8%",203,"10.7%",95,"8.6%",1.72,0.37
"Kaiser","MAD Lions","Support",11,"82%","55%",8,45,144,3.4,"70.0%","3.7%","27.4%","18%",-229,-286,-0.9,1.1,"2.8%",155,"6.6%",113,"8.9%",1.63,0.42
"Vander","Misfits Gaming","Support",10,"40%","60%",8,34,74,2.4,"73.2%","7.1%","19.5%","0%",-46,125,1.7,1.1,"2.9%",144,"7.4%",99,"9.0%",1.68,0.28
"Labrov","Team Vitality","Support",5,"40%","40%",1,19,33,1.8,"58.6%","1.7%","24.7%","0%",-169,-477,-1.6,1,"2.2%",168,"7.5%",89,"7.8%",1.28,0.32
"Trymbi","Rogue","Support",11,"27%","55%",5,55,91,1.7,"60.4%","3.1%","28.2%","45%",-39,-146,-4.3,0.9,"2.3%",136,"7.5%",97,"8.6%",1.51,0.32
