"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","EGPM","GOLD%","WPM","WCPM"
"Adryh","Giants Gaming","ADC",19,"32%",,49,45,85,3,"64.1%","23.4%","13.2%","11%",-96,96,0.1,8.3,"31.4%",471,"27.3%",246,"26.7%",0.13,0.16
"Airwaks","Copenhagen Wolves","Jungle",18,"44%",,38,84,160,2.4,"74.4%","14.3%","26.5%","44%",-44,-153,-2.2,3,"11.5%",228,"12.4%",162,"17.0%",0.68,0.3
"Betsy","Gambit Gaming","Middle",10,"70%",,41,23,64,4.6,"61.8%","24.1%","19.2%","20%",2,55,-2.6,8.2,"29.1%",567,"28.4%",260,"24.0%",0.21,0.14
"Blizer300","MeetYourMakers","Middle",4,"25%",,10,11,10,1.8,"52.6%","26.3%","21.6%","0%",-514,-398,-12.8,6.1,"21.3%",335,"26.8%",180,"21.2%",0.29,0.17
"Cabochard","Gambit Gaming","Top",18,"56%",,71,46,117,4.1,"64.4%","24.3%","18.0%","33%",195,112,4.9,7.2,"27.6%",432,"23.2%",235,"23.0%",0.53,0.09
"Diamondprox","Gambit Gaming","Jungle",18,"56%",,55,51,157,4.2,"72.6%","18.8%","20.0%","39%",44,91,0.9,3.1,"10.9%",301,"15.8%",186,"17.8%",0.83,0.3
"Edward","Gambit Gaming","Support",18,"56%",,13,65,191,3.1,"69.9%","4.5%","25.5%","11%",-101,-119,2.2,0.8,"3.1%",131,"7.1%",102,"9.9%",1.35,0.32
"FEBIVEN","Fnatic","Middle",18,"72%",,97,29,130,7.8,"65.0%","27.8%","12.6%","11%",107,111,4.6,7.9,"28.2%",548,"27.9%",276,"24.1%",0.25,0.13
"FORG1VEN","SK Gaming","ADC",18,"83%",,86,16,110,12.3,"68.3%","30.0%","7.7%","17%",321,103,12.2,10.1,"38.2%",562,"29.1%",331,"29.3%",0.22,0.13
"Fox","SK Gaming","Middle",18,"83%",,98,40,103,5,"70.0%","34.1%","19.3%","28%",151,-38,2.1,7.3,"23.9%",499,"25.9%",256,"22.5%",0.19,0.12
"Fr3deric","Giants Gaming","Jungle",19,"32%",,31,82,105,1.7,"65.1%","14.8%","24.0%","32%",38,-46,0.2,3,"10.7%",191,"11.5%",151,"16.5%",0.67,0.25
"fredy122","SK Gaming","Top",18,"83%",,37,57,147,3.2,"64.1%","12.9%","27.5%","11%",87,51,6.7,7.2,"24.8%",425,"22.5%",232,"20.3%",0.43,0.06
"Freeze","Copenhagen Wolves","ADC",18,"44%",,91,38,109,5.3,"75.2%","34.2%","12.0%","17%",202,89,4.4,9.1,"36.8%",531,"27.5%",285,"29.7%",0.09,0.16
"Froggen","Elements","Middle",18,"39%",,78,44,98,4,"78.2%","34.7%","20.8%","22%",151,132,5.2,8,"29.6%",493,"32.2%",245,"25.9%",0.32,0.1
"H0R0","MeetYourMakers","Jungle",19,"26%",,52,47,116,3.6,"78.5%","24.3%","17.1%","16%",-132,-4,0.4,3,"9.8%",214,"13.5%",162,"17.5%",0.72,0.24
